Actividad CE
Circular 
Bombear Bache
Sacar sarta
Eliminar BHA
Instalar equipos para Introduccion TR /LN
Bajar TR /LN
Desmantelar equipo para introducción de TR 
Instalacion de equipo de cementacion
Cementar 
Esperar fraguado
Desmantelar equipos de cementación
Efectuar corte TR 
Recuperar tubo ancla a superficie.
Soldar brida adaptadora
Realizar pruebas a LSC.
Instalar LSC 
Eliminar paquete ecologico
Instalar paquete ecologico
Realizar orden y limpieza
Armar BHA
Bajar y reconocer cima de cemento 
Rebajar cemento y zapata
Disistalar cabezal
Instalación  cabezal
Desinstalar Bops
Prueba de BOPs / Instalar buje desgaste
Instalar Bops
Prueba de integridad de TR/ Cementacion
Instalar equipo de registros electricos 
Registros eléctricos
Desistalar equipo de  Registros electricos.
Armado sarta de limpieza
Viaje de sarta de limpieza
Trabajo de sarta de limpieza
Instalar colgador 
Realizar procedimiento de anclaje del colgador
Liberar colgador
Viaje con sarta
Realizar desplazamiento
 Realizar flow check
Armar lingadas de tubería de TP
Viaje corto
Mantenimiento al equipo de perforacion
Mantenimiento al TD
Activar empacador de boca 
Recuperar empacador
Prueba de alijo
Estimulaciones
Instalar equipos de MPD
Desistalar equipo de MPD
Junta operativa
Cambio de guardia
Corte y desliz de cable de perforacion
Atrapamiento 
Cambio de gafas del TD
Simulacro
Acondicionar fluido
Otros ()
